ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
"1","FUET-7525-3.6V","BUZZER1","BUZ-SMD_4P-L7.5-W7.5-BR","1","FUET-7525-3.6V","FUET","LCSC","C417427","0.421"
"2","100nF","C1,C2,C3,C4,C5","C0805","5","CL21B104KCFNNNE","SAMSUNG","LCSC","C28233","0.009"
"3","220nF","C6","C0805","1","CL21B224KBFNNNE","SAMSUNG","LCSC","C5378","0.014"
"4","1uF","C7","C0805","1","CL21B105KBFNNNE","SAMSUNG","LCSC","C28323","0.005"
"5","VEMD6110X01","D1","4X2MM-3SMD","1","VEMD6110X01","Vishay Intertech","LCSC","C3210995",""
"6","HDR-M-2.54_1x8","H1,H4","HDR-M-2.54_1X8","2","","","LCSC","C190820","0.048"
"7","HDR-M-2.54_1x6","H2","HDR-M-2.54_1X6","1","","","LCSC","C190819","0.039"
"8","HDR-M-2.54_1x10","H3","HDR-M-2.54_1X10","1","","","LCSC","C57369","0.043"
"9","0805 Green (PWR)","LED1","LED0805-RD_GREEN","1","0805G (Green)","KENTO","LCSC","C2297",""
"10","0805 Red","LED2","LED0805-RD_RED","1","FC-2012HRK-620D","NATIONSTAR","LCSC","C84256","0.012"
"11","IR17-21C/TR8","LED3","LED0805-R-RD","1","IR17-21C/TR8","Everlight Elec","LCSC","C131250","0.065"
"12","IM69D130V01","MIC1","MIC-SMD_5P-L4.0-W3.0-P0.70-TR_IM69D130V01","1","IM69D130V01","Infineon(英飞凌)","LCSC","C536262","2.254"
"13","MMBT2222A","Q1","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","MMBT2222A","CJ","LCSC","C8512","0.02"
"14","100Ω","R1,R2","R0805","2","0805W8F1000T5E","UniOhm","LCSC","C17408","0.002"
"15","10kΩ","R3,R8,R9,R10","R0805","4","0805W8F1002T5E","UniOhm","LCSC","C17414","0.001"
"16","510Ω","R4,R5,R7","R0805","3","0805W8F5100T5E","UniOhm","LCSC","C17734","0.002"
"17","1kΩ","R6","R0805","1","0805W8F1001T5E","UniOhm","LCSC","C17513","0.002"
"18","SK6805-EC15","RGB1,RGB2,RGB3,RGB4,RGB5,RGB6,RGB7,RGB8,RGB9,RGB10","LED-SMD_4P-L1.5-W1.5-BL","10","SK6805-EC15","欧思科光电","LCSC","C2890035","0.153"
"19","EVQQ2K03W","SW1,SW2","SW-SMD_EVQQ2-6Q2","2","EVQQ2K03W","PANASONIC","LCSC","C713484","0.193"
"20","AYZ0202AGRLC","SW3","SW-SMD_AYZ0202AGRLC","1","AYZ0202AGRLC","C&K","LCSC","C221564","0.985"
"21","PTS810SJS250SMTRLFS","SW5","SW-SMD_4P_PTS810SJM250SMTRLFS","1","PTS810SJS250SMTRLFS","C&K","LCSC","C221897","0.153"
"22","LIS3DHTR_C15134","U1","LGA-16_L3.0-W3.0-P0.50-TL","1","LIS3DHTR","STMicroelectronics","LCSC","C15134","1.074"
"23","PAM8304ASR","U2","MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL","1","PAM8304ASR","Diodes Incorporated","LCSC","C581342","0.505"
"24","GD25Q16CSIGR","U3","SOP-8_L5.3-W5.3-P1.27-LS8.0-BL","1","GD25Q16CSIGR","GigaDevice Semicon Beijing","LCSC","C395505",""
"25","VSOP38338","U4","DFN-8_L2.0-W2.0-P0.50-BL-EP","1","VSOP38338","Vishay Intertech","LCSC","C192566","0.675"
"26","ALS-PT19-315C/L177/TR8","U5","SENSORS-SMD_ALS-PT19","1","ALS-PT19-315C/L177/TR8","EVERLIGHT","LCSC","C146233","0.117"
"27","SN74LVC1G125DRLR","U6","SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL","1","SN74LVC1G125DRLR","Texas Instruments","LCSC","C882831","0.371"
"28","SHT30-DIS-B10KS","U7","DFN-8_L2.5-W2.5-P0.50-BL-EP","1","SHT30-DIS-B10KS","Sensirion(瑞士盛思锐)","LCSC","C2687423","1.339"
